"Time [ns]","Moving1.Position [deg]","FluxLinkage(Winding1) [deg]"
0,0,1.41360537762167e-15
500000,0.900000000000002,2.48503571452503e-06
1000000,1.8,5.27836182215608e-06
1500000,2.7,9.01838170125607e-06
2000000,3.6,1.3251845355216e-05
2500000,4.5,1.75814304382464e-05
3000000,5.4,2.22402956854886e-05
3500000,6.30000000000001,2.7110556108903e-05
4000000,7.20000000000002,3.14931823211141e-05
4500000,8.10000000000002,3.35601481075787e-05
5000000,9.00000000000002,3.26485915568553e-05
5500000,9.90000000000002,2.97170762839921e-05
6000000,10.8,2.58669044380389e-05
6500000,11.7,2.1700316968126e-05
7000000,12.6,1.73451052941723e-05
7500000,13.5,1.28731517796654e-05
8000000,14.4,8.76269069945327e-06
8500000,15.3,5.33008988918476e-06
9000000,16.2,2.67343586811103e-06
9500000,17.1,5.57943665605139e-07
10000000,18,-1.42128596349598e-06
10500000,18.9,-3.79109537851125e-06
11000000,19.8,-7.07916833845833e-06
11500000,20.7,-1.10632054027441e-05
12000000,21.6,-1.54064963013915e-05
12500000,22.5,-2.00945105745262e-05
13000000,23.4,-2.49750955800382e-05
13500000,24.3,-3.01608644638958e-05
14000000,25.2,-3.46307782497588e-05
14500000,26.1,-3.66035000848839e-05
15000000,27,-3.56029946425563e-05
15500000,27.9,-3.23433136931107e-05
16000000,28.8,-2.80823733135678e-05
16500000,29.7,-2.35121562314915e-05
17000000,30.6,-1.87362596673115e-05
17500000,31.5,-1.39348179551967e-05
18000000,32.4,-9.52829504642857e-06
18500000,33.3,-5.87722377984214e-06
19000000,34.2,-3.08376951059345e-06
19500000,35.1,-9.32724246750426e-07
20000000,36,1.18638392973049e-06
20500000,36.9,3.68424783995281e-06
21000000,37.8,7.04471372084638e-06
21500000,38.7,1.11951357636087e-05
22000000,39.6,1.58022753722362e-05
22500000,40.5,2.02773650252073e-05
23000000,41.4,2.5163898300993e-05
23500000,42.3,3.0383203316424e-05
24000000,43.2,3.47669021717346e-05
24500000,44.1,3.66794744267447e-05
25000000,45,3.56152760719685e-05
25500000,45.9,3.22014108005098e-05
26000000,46.8,2.79043156536801e-05
26500000,47.7,2.33090169378528e-05
27000000,48.6000000000001,1.84584128226027e-05
27500000,49.5,1.36276935222809e-05
28000000,50.4,9.24838190120433e-06
28500000,51.3000000000001,5.61582409875206e-06
29000000,52.2000000000001,2.75270575003449e-06
29500000,53.1000000000001,6.35228813070504e-07
30000000,54.0000000000001,-1.40899395552177e-06
30500000,54.9000000000001,-3.87234605095695e-06
31000000,55.8000000000001,-7.20694098563906e-06
31500000,56.7000000000001,-1.13100819937771e-05
32000000,57.5999999999998,-1.58237674136465e-05
32500000,58.4999999999998,-2.04688203640549e-05
33000000,59.3999999999999,-2.55058373659858e-05
33500000,60.3,-3.06410180420248e-05
34000000,61.2,-3.51773586138529e-05
34500000,62.1000000000001,-3.71353610547034e-05
35000000,63.0000000000001,-3.59042431641001e-05
35500000,63.9000000000002,-3.25260482344084e-05
36000000,64.8000000000003,-2.80731736208849e-05
36500000,65.6999999999997,-2.3584923756011e-05
37000000,66.5999999999998,-1.86915443900396e-05
37500000,67.4999999999999,-1.38395980648257e-05
38000000,68.3999999999999,-9.43159576128303e-06
38500000,69.3,-5.77994886883495e-06
39000000,70.2,-2.98273967909076e-06
39500000,71.1000000000001,-8.04209177624923e-07
40000000,72.0000000000002,1.28563236315355e-06
40500000,72.9000000000002,3.85429503275725e-06
41000000,73.7999999999997,7.18511113020842e-06
41500000,74.6999999999998,1.13884544482436e-05
42000000,75.5999999999998,1.58565385215293e-05
42500000,76.4999999999999,2.04950751370713e-05
43000000,77.3999999999999,2.551111750861e-05
43500000,78.3,3.07331345080882e-05
44000000,79.2000000000001,3.52278056652708e-05
44500000,80.1000000000001,3.70122315293717e-05
45000000,81.0000000000002,3.60385567772843e-05
45500000,81.8999999999997,3.2597079477224e-05
46000000,82.7999999999997,2.82439901675943e-05
46500000,83.6999999999998,2.34859143872792e-05
47000000,84.5999999999998,1.8572081422604e-05
47500000,85.4999999999999,1.36769642312724e-05
48000000,86.3999999999999,9.20857869554517e-06
48500000,87.3,5.59643658322541e-06
49000000,88.2000000000001,2.73464837229339e-06
49500000,89.1000000000001,5.64427734905204e-07
50000000,89.9999999999996,-1.46321419306696e-06
50500000,90.8999999999997,-3.96391324793109e-06
51000000,91.7999999999997,-7.28713283852595e-06
51500000,92.6999999999998,-1.14118196099409e-05
52000000,93.5999999999999,-1.6001754616383e-05
52500000,94.4999999999999,-2.05888173298936e-05
53000000,95.4,-2.54906416712371e-05
53500000,96.3,-3.07204983642292e-05
54000000,97.2000000000001,-3.5117475892439e-05
54500000,98.0999999999996,-3.71959429655748e-05
55000000,98.9999999999996,-3.59976072114295e-05
55500000,99.8999999999997,-3.25452122377645e-05
56000000,100.8,-2.82442123298058e-05
56500000,101.7,-2.35366697172027e-05
57000000,102.6,-1.87201030686017e-05
57500000,103.5,-1.3820394059031e-05
58000000,104.4,-9.39595728826277e-06
58500000,105.3,-5.7360704883385e-06
59000000,106.2,-2.85159507592137e-06
59500000,107.1,-7.31709393522071e-07
60000000,108,1.32218196960359e-06
60500000,108.9,3.75190370190339e-06
61000000,109.8,7.04277138404496e-06
61500000,110.7,1.12192147877283e-05
62000000,111.6,1.5749817668764e-05
62500000,112.5,2.03368332613295e-05
63000000,113.399999999999,2.51988653171704e-05
63500000,114.299999999999,3.0474231767629e-05
64000000,115.2,3.49093604452588e-05
64500000,116.1,3.68513273137754e-05
65000000,117,3.57874740867688e-05
65500000,117.9,3.24002322992928e-05
66000000,118.8,2.81244170741262e-05
66500000,119.7,2.36049922142942e-05
67000000,120.6,1.87624367156723e-05
67500000,121.5,1.39491200083546e-05
68000000,122.399999999999,9.52096424343555e-06
68500000,123.3,5.78716370511943e-06
69000000,124.2,2.99662953294572e-06
69500000,125.1,8.0561536690842e-07
70000000,126,-1.22725755874568e-06
70500000,126.9,-3.69454825192024e-06
71000000,127.8,-7.05100991349929e-06
71500000,128.7,-1.11511765442237e-05
72000000.0000001,129.599999999999,-1.57541239417546e-05
72500000.0000001,130.499999999999,-2.03912801926855e-05
73000000.0000001,131.399999999999,-2.54286946005657e-05
73500000.0000001,132.3,-3.08416147204205e-05
74000000.0000001,133.2,-3.51531396766819e-05
74500000.0000001,134.1,-3.70666734058116e-05
75000000.0000001,135,-3.59541198901869e-05
75500000.0000001,135.9,-3.24915329780837e-05
76000000.0000001,136.8,-2.817199783518e-05
76500000.0000001,137.699999999999,-2.35183062499631e-05
77000000.0000001,138.599999999999,-1.85906936373927e-05
77500000.0000001,139.499999999999,-1.36578193622927e-05
78000000.0000001,140.4,-9.27325782466086e-06
78500000.0000001,141.3,-5.53893137345435e-06
79000000.0000001,142.2,-2.65372321282618e-06
79500000.0000001,143.1,-3.74420172723661e-07
80000000.0000001,144,1.72724846577653e-06
80500000.0000001,144.9,4.24765170369928e-06
81000000.0000001,145.799999999999,7.57210995157876e-06
81500000.0000001,146.699999999999,1.16387754696751e-05
82000000.0000001,147.599999999999,1.60862571297819e-05
82500000.0000001,148.499999999999,2.0702636334669e-05
83000000.0000001,149.4,2.55946975391895e-05
83500000.0000001,150.3,3.07629417730684e-05
84000000.0000001,151.2,3.52585489981622e-05
84500000.0000001,152.1,3.72293647172646e-05
85000000.0000001,153,3.60370994012375e-05
85500000.0000001,153.899999999999,3.27332694195418e-05
86000000.0000001,154.799999999999,2.83432857605595e-05
86500000.0000001,155.699999999999,2.37276325946555e-05
87000000.0000001,156.599999999999,1.88413710153028e-05
87500000.0000001,157.499999999999,1.39637249304346e-05
88000000.0000001,158.4,9.47222533887077e-06
88500000.0000001,159.3,5.75969281282569e-06
89000000.0000001,160.2,2.98675004028428e-06
89500000.0000001,161.1,8.40866389120506e-07
90000000.0000001,161.999999999999,-1.27615335492861e-06
90500000.0000001,162.899999999999,-3.64615370714909e-06
91000000.0000001,163.799999999999,-6.9394699092526e-06
91500000.0000001,164.699999999999,-1.1104018674291e-05
92000000.0000001,165.599999999999,-1.55598791945704e-05
92500000.0000001,166.5,-2.01203876271922e-05
93000000.0000001,167.4,-2.51447521132168e-05
93500000.0000001,168.3,-3.02902616673468e-05
94000000.0000001,169.2,-3.46617898770008e-05
94500000.0000001,170.099999999999,-3.65891849196993e-05
95000000.0000001,170.999999999999,-3.56947239957777e-05
95500000.0000001,171.899999999999,-3.23797183193779e-05
96000000.0000001,172.799999999999,-2.80729883715926e-05
96500000.0000001,173.699999999999,-2.34776836627375e-05
97000000.0000001,174.599999999999,-1.86253547456047e-05
97500000.0000001,175.5,-1.37315091892218e-05
98000000.0000001,176.4,-9.27082596136046e-06
98500000.0000001,177.3,-5.54634307203777e-06
