"Time [ms]","InducedVoltage(phaseA) []","InducedVoltage(phaseB) []"
0,-1.74897144975666,-0.8855489935674
0.5,-0.964839861517542,-0.332139748853278
1,-0.180708273278421,0.221269495860843
1.5,-0.128921406619698,0.256711534383166
2,-0.0928830302029362,0.269883938148323
2.5,-0.0636474769405833,0.259737395142753
3,-0.0380820481556594,0.234549811298732
3.5,-0.0119777147266078,0.195501452451423
4,0.0163946153616703,0.159258334142962
4.5,0.0494026925178983,0.124827725663197
5,0.0884263955606659,0.0904883960391922
5.5,0.12808742888032,0.0621114040861157
6,0.174259876533666,0.0368672426959669
6.5,0.224217015501384,0.0128579032454923
7,0.267425051426799,-0.0120669803374256
7.5,0.293724880021685,-0.039810302608758
8,0.306040522343181,-0.074226903542659
8.5,0.308181835102558,-0.112358492575233
9,0.297373324986396,-0.154181426081577
9.5,0.26411053247833,-0.203407365452946
10,0.221027871354783,-0.250769547703112
10.5,0.177049989498731,-0.289331250669965
11,0.135005951184899,-0.31000099252084
11.5,0.099052259709679,-0.315095291960765
12,0.0652317431239358,-0.313158129949082
12.5,0.0363760555094057,-0.296264479462971
13,0.0128599582862834,-0.255252977431998
13.5,-0.0127670146346781,-0.207933776043469
14,-0.0397734983319242,-0.16348844667149
14.5,-0.0722814304646751,-0.123467851084726
15,-0.109784574315658,-0.0880856434769426
15.5,-0.149684639631489,-0.0553674382711198
16,-0.197559878711791,-0.0274080464773843
16.5,-0.246487579795536,-0.00329435026486213
17,-0.287608450847332,0.0223681594678575
17.5,-0.312197642927637,0.0511938290709057
18,-0.323631785488096,0.0853601473848802
18.5,-0.32312103593819,0.125084601743122
19,-0.307590822766757,0.167978538406773
19.5,-0.273020450079144,0.216559087784714
20,-0.226606453553427,0.26235144343458
20.5,-0.179367117926866,0.300071849664706
21,-0.137602072757073,0.320989534974635
21.5,-0.0980517483976582,0.326953620533461
22,-0.0630532748216188,0.323081107056629
22.5,-0.0346861605773525,0.299672113332723
23,-0.0099646499964372,0.258657790493954
23.5,0.015639304844655,0.211367079806056
24,0.044418137362227,0.165423711515038
24.5,0.0761523118812559,0.124812883743812
25,0.11484380788935,0.0860674504855952
25.5,0.154240019587964,0.0536639642826986
26,0.199653295180795,0.0267511121192501
26.5,0.251221540518261,0.00167364849647011
27,0.293122587422845,-0.0254252063537794
27.5,0.31536075617504,-0.0533553158114717
28,0.325822648622063,-0.0880585608392705
28.5,0.325561121443996,-0.127584090797422
29,0.310916085547507,-0.170812191597784
29.5,0.275840168709135,-0.218958960059904
30,0.226060580229025,-0.266587961750851
30.5,0.179545107255252,-0.304811273732105
31,0.137497296978425,-0.321256555170525
31.5,0.0969676188302555,-0.327268287429578
32,0.0642595386108333,-0.324203463180019
32.5,0.034600629441869,-0.3000227605702
33,0.00862194311663367,-0.259915359533969
33.5,-0.0161487428786176,-0.209663371933475
34,-0.0438272304764222,-0.165334209190922
34.5,-0.077376055433426,-0.124094218205156
35,-0.114468932251483,-0.0867135721918135
35.5,-0.156410569074211,-0.0534583560790283
36,-0.201430794818943,-0.0252008528032743
36.5,-0.251343488944965,-0.000681402572520806
37,-0.292962267887716,0.0248704984830712
37.5,-0.317476243225129,0.0541706872414767
38,-0.328097067601081,0.0887746332022525
38.5,-0.326189818794638,0.127560766647625
39,-0.312473270954041,0.171251302468108
39.5,-0.274168989470581,0.217059023711224
40,-0.227221203430211,0.266163251934617
40.5,-0.180651889239067,0.303115044224502
41,-0.137513726508413,0.321999174313246
41.5,-0.0976948740293615,0.327226088395758
42,-0.0629607292549934,0.323187604475708
42.5,-0.0342747199644025,0.300114613723711
43,-0.00907460038989916,0.260182133456709
43.5,0.0165800331442856,0.211435099520239
44,0.0445527689019576,0.165327941009974
44.5,0.0781619887214113,0.123247605853394
45,0.115348566363097,0.0865753726160861
45.5,0.155745572973274,0.0538940841877791
46,0.203346991705335,0.0262656301208992
46.5,0.252396515181451,0.000709007686497731
47,0.294500171627807,-0.024626908369429
47.5,0.317516163369744,-0.0535957697932827
48,0.326461381366534,-0.0878220612533087
48.5,0.327466296687611,-0.126494752896537
49,0.310462824911449,-0.172740883433497
49.5,0.274218718417591,-0.2163702806298
50,0.226379802181361,-0.266199647299341
50.5,0.178210033334625,-0.302605453093695
51,0.138564473523293,-0.320313879340409
51.5,0.0970687833018595,-0.33400678755493
52,0.062852250976412,-0.321313143313261
52.5,0.0336987087242273,-0.298976412071239
53,0.00856218084853655,-0.261541467147953
53.5,-0.0166807058121687,-0.210769114089691
54,-0.044580699223735,-0.166312687605714
54.5,-0.0776402732679042,-0.125154074481041
55,-0.116293633427826,-0.0857645112164636
55.5,-0.155261158745905,-0.0534711335418603
56,-0.201394994959147,-0.0258774539424378
56.5,-0.251529789858418,-0.0018747468844047
57,-0.292507182449066,0.0243230621151642
57.5,-0.316480628020282,0.0554925597481821
58,-0.326649198976756,0.0880110034776396
58.5,-0.324870393900446,0.128153893263222
59,-0.311004321365802,0.168789748646561
59.5,-0.274582656659587,0.218913049493937
60,-0.227486451120851,0.266171405522119
60.5,-0.180167575558699,0.303809098762048
61,-0.136170397616231,0.322511623276928
61.5,-0.0982945128404111,0.32725668127715
62,-0.0630729678909099,0.324388149953363
62.5,-0.0342915255564673,0.301148358411226
63,-0.00865363778820472,0.259456888375812
63.5,0.0167884982807571,0.212961341079807
64,0.0436802267781002,0.165047660977881
64.5,0.0770146374482115,0.123878763324105
65,0.114687317487243,0.0864789361266538
65.5,0.154841726869485,0.0542554812916316
66,0.202142231292534,0.025956848831246
66.5,0.25111312941699,0.00101845723672178
67,0.293868402811433,-0.0248442555406576
67.5,0.316026416904034,-0.0541282715994769
68,0.327156280389377,-0.0877119290436648
68.5,0.326228470221538,-0.127853387381451
69,0.310977243731421,-0.170815471529868
69.5,0.275200252587015,-0.219425029298385
70,0.227604304577113,-0.266062640486866
70.5,0.179819502864945,-0.303227007310312
71,0.13825586254709,-0.322633680882497
71.5,0.097773819234682,-0.328603075917534
72.0000000000001,0.0625764575023668,-0.325388597034828
72.5000000000001,0.0341039260668765,-0.301295417879722
73.0000000000001,0.00964045135208491,-0.259499102614661
73.5000000000001,-0.0168861560770441,-0.212051539848584
74.0000000000001,-0.0452625208787842,-0.165623117779389
74.5000000000001,-0.07624859913963,-0.124745409407058
75.0000000000001,-0.116303209751887,-0.0863560302223378
75.5000000000001,-0.15575986032811,-0.053266698269117
76.0000000000001,-0.199343404311666,-0.0265553329293011
76.5000000000001,-0.253011511214305,-0.000264698096797744
77.0000000000001,-0.294189132483424,0.0252446565286339
77.5000000000001,-0.31645802352346,0.0538114777926033
78.0000000000001,-0.326535158680223,0.0884900450999022
78.5000000000001,-0.325939463608534,0.128427910893542
79.0000000000001,-0.31021369256052,0.171051417711767
79.5000000000001,-0.277549227350129,0.219513985379451
80.0000000000001,-0.226295439713013,0.267297281533931
80.5000000000001,-0.179890302906161,0.305307779456126
81.0000000000001,-0.137198704152043,0.320869854364426
81.5000000000001,-0.0976054336997099,0.32869197083808
82.0000000000001,-0.0638138235485985,0.3247540107174
82.5000000000001,-0.0342803481821625,0.300116633119259
83.0000000000001,-0.00851770189157097,0.259821681602414
83.5000000000001,0.0163705723243388,0.209972443710633
84.0000000000001,0.0440330548383261,0.165542665410203
84.5000000000001,0.0772454241543552,0.124127965564633
85.0000000000001,0.114789657438608,0.0863700752389813
85.5000000000001,0.156888492368701,0.0533996811208519
86.0000000000001,0.201447272286707,0.025705062446713
86.5000000000001,0.251456359882751,0.000381498568972516
87.0000000000001,0.292898534179079,-0.0246140314886369
87.5000000000001,0.317492144501457,-0.0545816374214123
