"Time [ns]","Moving1.Position [deg]","FluxLinkage(Winding1) [deg]"
0,0,-3.55692788665117e-15
500000,45,-8.59164072252835e-06
1000000,90.0000000000002,-9.09827456767918e-06
1500000,135,1.01271494677728e-05
2000000,180,1.0187203936982e-05
2500000,225,-1.0902300251991e-05
3000000,270,-1.06011730247621e-05
3500000,315,1.13000391262926e-05
4000000,5.08888749034163e-14,1.10592101767452e-05
4500000,45.0000000000001,-1.16648837948264e-05
5000000,90.0000000000002,-1.12364002760289e-05
5500000,135,1.18580987475123e-05
6000000,180,1.15157357555545e-05
6500000,225,-1.20914274559104e-05
7000000,270.000000000001,-1.1614226100039e-05
7500000,315,1.22035894371124e-05
8000000,4.0711099922733e-13,1.18076784871063e-05
8500000,45.0000000000004,-1.23699584029994e-05
9000000,90.0000000000008,-1.18651531356039e-05
9500000,135,1.24365743432572e-05
10000000,180,1.20074063016334e-05
10500000,225,-1.25615751457347e-05
11000000,270.000000000001,-1.20381481989565e-05
11500000,315.000000000001,1.25981871737274e-05
12000000,8.1422199845466e-13,1.21474658537956e-05
12500000,45.0000000000008,-1.26958808162172e-05
13000000,90.0000000000008,-1.21591161710683e-05
13500000,135.000000000001,1.2711532989584e-05
14000000,180.000000000001,1.22465048434952e-05
14500000,225.000000000001,-1.27908365640178e-05
15000000,270.000000000001,-1.22442590670582e-05
15500000,315.000000000001,1.27914534746346e-05
16000000,1.22133299768199e-12,1.23170363667627e-05
16500000,45.0000000000012,-1.28582665369993e-05
17000000,90.0000000000014,-1.23044004503713e-05
17500000,135.000000000001,1.28479854509125e-05
18000000,180.000000000002,1.23672939351245e-05
18500000,225.000000000002,-1.29063090114568e-05
19000000,270.000000000002,-1.23469671977547e-05
19500000,315.000000000002,1.2888044448863e-05
20000000,1.62844399690932e-12,1.24032637809273e-05
20500000,45.0000000000015,-1.29405853228998e-05
21000000,90.0000000000014,-1.23771279503392e-05
21500000,135.000000000001,1.29164653152729e-05
22000000,180.000000000001,1.24289746948436e-05
22500000,225.000000000001,-1.29650905511625e-05
23000000,270.000000000001,-1.23985075648143e-05
23500000,315.000000000001,1.29366400602526e-05
24000000,4.0711099922733e-13,1.24474059547554e-05
24500000,45.0000000000003,-1.29826069131409e-05
25000000,90.0000000000002,-1.24136809842837e-05
25500000,135,1.29509398590964e-05
26000000,180,1.24605099109919e-05
26500000,225,-1.29955439276848e-05
27000000,269.999999999999,-1.24245387633646e-05
27500000,315,1.29613138248113e-05
28000000,359.999999999999,1.24703578718865e-05
28500000,44.999999999999,-1.30046878818145e-05
29000000,89.999999999999,-1.24321549389959e-05
29500000,134.999999999999,1.2968589594738e-05
30000000,179.999999999999,1.24772303519192e-05
30500000,224.999999999998,-1.30112981493286e-05
31000000,269.999999999998,-1.2437539987308e-05
31500000,314.999999999998,1.2973742630675e-05
32000000,359.999999999998,1.24819348049971e-05
32500000,44.9999999999978,-1.30159614404304e-05
33000000,89.9999999999979,-1.24413452228038e-05
33500000,134.999999999997,1.29773962479843e-05
34000000,179.999999999998,1.24854622559907e-05
34500000,224.999999999997,-1.30193834225509e-05
35000000,269.999999999997,-1.24440295110269e-05
35500000,314.999999999997,1.29799888222769e-05
36000000,359.999999999997,1.24878543096083e-05
36500000,44.9999999999966,-1.30217575665425e-05
37000000,89.9999999999962,-1.24459214938014e-05
37500000,134.999999999996,1.2981826149417e-05
38000000,179.999999999996,1.24896705056737e-05
38500000,224.999999999996,-1.30235416984879e-05
39000000,269.999999999996,-1.24472512757033e-05
39500000,314.999999999996,1.29831291659597e-05
40000000,359.999999999996,1.2490889454561e-05
40500000,44.9999999999953,-1.30247404540354e-05
41000000,89.9999999999956,-1.24481851805713e-05
41500000,134.999999999996,1.29840508084397e-05
42000000,179.999999999995,1.24918268326138e-05
