"Time [s]","L(Winding1,Winding1) []"
0,16.9638584648452
0.002,16.9833692432206
0.004,17.0418943891538
0.006,17.1402738946615
0.008,17.2823123521473
0.01,17.4672730624047
0.012,17.6917858732362
0.014,17.9303574724329
0.016,18.2184319045223
0.018,18.5520840972284
0.02,18.9428077651713
0.022,19.3288193953996
0.024,19.774542050961
0.026,20.2718547888622
0.028,20.7779774691928
0.03,21.3510710188377
0.032,21.9271335736802
0.034,22.5681068740279
0.036,23.2182893651471
0.038,23.9288111639161
0.04,24.6221033634729
0.042,25.3582382706239
0.044,26.0602409369059
0.046,26.6911994056498
0.048,27.0799260502318
0.05,27.0664092403587
0.052,26.6558382405078
0.054,26.0235462432072
0.056,25.3223956147079
0.058,24.5835300577562
0.06,23.886424656226
0.062,23.1778052540285
0.064,22.5218011525363
0.066,21.8837210055076
0.068,21.3010990344005
0.07,20.7287143998601
0.0720000000000001,20.2262170351003
0.0740000000000001,19.7166714309222
0.0760000000000001,19.2688593677173
0.0780000000000001,18.8782683728352
0.0800000000000001,18.4789550091307
0.0820000000000001,18.1410355950525
0.0840000000000001,17.8521518711666
0.0860000000000001,17.6100322791248
0.0880000000000001,17.3680395120349
0.0900000000000001,17.1763254360808
0.0920000000000001,17.030485644098
0.0940000000000001,16.9239386485954
0.0960000000000001,16.8557456590369
0.0980000000000001,16.8270718457705
0.1,16.8370906781971
0.102,16.8861110853482
0.104,16.9749761953211
0.106,17.1007781434111
0.108,17.2700722980068
0.11,17.4868207392503
0.112,17.7340180715081
0.114,17.994283370105
0.116,18.312139463881
0.118,18.6769644052267
0.12,19.0779330779045
0.122,19.4961823254652
0.124,19.9740552048864
0.126,20.4786750048605
0.128,21.0143843633652
0.13,21.609288804156
0.132,22.2053714605434
0.134,22.871312424492
0.136,23.5319134423286
0.138,24.2433012742295
0.14,24.9685059152063
0.142,25.683682501086
0.144,26.3867249205644
0.146,26.9114362980532
0.148,27.1089062443726
0.15,26.9234017081078
0.152,26.3955714856236
0.154,25.6914984493133
0.156,24.9787526952288
0.158,24.2552398925997
0.16,23.5456296560486
0.162,22.887142705615
0.164,22.2241694781593
0.166,21.630225375273
0.168,21.0419032086447
0.17,20.5105512044314
0.172,20.0112631194134
0.174,19.5401425558949
0.176,19.123933933782
0.178,18.7356192505745
0.18,18.3754030154027
0.182,18.0645417802002
0.184,17.8043074177804
0.186,17.5782081351668
0.188,17.3700831045734
0.19,17.2076534972377
0.192,17.0892580740235
0.194,17.012115054697
0.196,16.9742241835105
0.198,16.9753245492902
0.2,17.0154171807937
0.202,17.0948072482055
0.204,17.2156653477251
0.206,17.3805039570659
0.208,17.5914944726922
0.21,17.8176919834127
0.212,18.0808016353193
0.214,18.3940161485426
0.216,18.7578935141511
0.218,19.1456787191951
0.22,19.5649651157235
0.222,20.0397464852025
0.224,20.5382273902525
0.226,21.0741752436581
0.228,21.6609925351113
0.23,22.2592637182285
0.232,22.9222267274872
0.234,23.5854360835822
0.236,24.2931534607048
0.238,25.0227348836075
0.24,25.7312130381792
0.242,26.4287522097384
0.244,26.9492339430374
0.246,27.1073354794263
0.248,26.8856144969114
0.25,26.3541974424117
0.252,25.6440849507831
0.254,24.9262011035729
0.256,24.2066462830129
0.258,23.4945776321751
0.26,22.8384716015475
0.262,22.1728797635796
0.264,21.5812232467995
0.266,20.9856038441864
0.268,20.4533682363892
0.27,19.9489471986059
0.272,19.4742631092742
0.274,19.0603209224397
0.276,18.659087887025
0.278,18.297870126864
0.28,17.9825906518317
0.282,17.725269692504
0.284,17.4788689238704
0.286,17.264929783323
0.288,17.0982806695333
0.29,16.9748948274758
0.292,16.8884533497747
0.294,16.8417965282518
0.296,16.8341471370623
0.298,16.8652748047321
0.3,16.9360368997924
0.302,17.044661298605
0.304,17.1933506536336
0.306,17.3881928763333
0.308,17.6337805359875
0.31,17.8739946811157
0.312,18.1671707080578
0.314,18.5078471821375
0.316,18.9121020609752
0.318,19.3004863526486
0.32,19.7521157027374
0.322,20.2608912315097
0.324,20.7683049946014
0.326,21.3461493956228
0.328,21.9267409276702
0.33,22.5716407140266
0.332,23.224375617973
0.334,23.9404154034541
0.336,24.6320484497543
0.338,25.3678460571466
0.34,26.0743159177581
0.342,26.692105301967
0.344,27.0751439553644
0.346,27.072080152466
0.348,26.6548104870331
0.35,26.0118452469504
0.352,25.3155132689149
0.354,24.5773867633851
0.356,23.8807789705122
0.358,23.1778227090386
0.36,22.5259518302682
0.362,21.8920004493839
0.364,21.3157267067862
0.366,20.7482031443278
0.368,20.2465643714825
0.37,19.7506486515235
0.372,19.3092067507103
0.374,18.9267865918181
0.376,18.537622537222
0.378,18.2075173978164
0.38,17.9231063520913
0.382,17.6877566542204
0.384,17.4660813350393
0.386,17.284527578557
0.388,17.1456352016739
0.39,17.050346635127
0.392,16.9949626710629
0.394,16.9786211970826
0.396,17.0012625784889
0.398,17.0629926770918
0.4,17.1649675082379
0.402,17.3108640857091
0.404,17.4999699770481
0.406,17.7230571119661
0.408,17.9652296100687
0.41,18.2589188813733
0.412,18.5965412394443
0.414,18.9856852977453
0.416,19.3766521838254
0.418,19.828293886762
0.42,20.3243039191385
0.422,20.8355945716352
0.424,21.4173662177548
0.426,21.9904231890763
0.428,22.6411275050471
0.43,23.2864211607105
0.432,24.0003710345095
0.434,24.6925501554409
0.436,25.4242139456914
0.438,26.1346023278671
0.44,26.740372439478
0.442,27.089135727533
0.444,27.0514087631748
0.446,26.6041411201426
0.448,25.9551590967218
0.45,25.2612029365445
0.452,24.517578023574
0.454,23.8168291828484
0.456,23.1191551078697
0.458,22.4605208908546
0.46,21.8318783026219
0.462,21.2483480063938
0.464,20.6836968912784
0.466,20.1865565164846
0.468,19.6797130268623
0.47,19.2376540155031
0.472,18.846854266637
0.474,18.4543939404131
0.476,18.1210589642338
0.478,17.8377888552361
0.48,17.5974141323712
0.482,17.3605847785109
0.484,17.1735325604149
0.486,17.0320461914574
0.488,16.9299082253816
0.49,16.8659281379605
0.492,16.8414371724706
0.494,16.8557639357027
0.496,16.9093173312152
0.498,17.0018921078141
0.5,17.1323959918442
0.502,17.3074214231507
0.504,17.5303561064101
0.506,17.7736059091177
0.508,18.0411242062552
0.51,18.3637035749251
0.512,18.7371997465324
0.514,19.1336045113619
0.516,19.5609164966509
0.518,20.0465179033209
0.52,20.5477393692322
0.522,21.0925012314978
0.524,21.6826020370312
0.526,22.288505502819
0.528,22.9534420378289
0.53,23.6247920706115
0.532,24.3313536452439
0.534,25.0697454064788
0.536,25.7725017345074
0.538,26.4599705657568
0.54,26.967637981511
0.542,27.1052773694675
0.544,26.8651174532195
0.546,26.3219824057708
0.548,25.6039515728102
0.55,24.8858214198417
0.552,24.1733612463915
0.554,23.4630866159127
0.556,22.8140121548344
0.558,22.1520131945548
0.56,21.5674068301694
0.562,20.9777806176936
0.564,20.4540191563835
0.566,19.9562494985749
0.568,19.4915072480653
0.57,19.0838780688051
0.572,18.6960034459856
0.574,18.3435532315042
0.576,18.0383173285221
0.578,17.78430135408
0.58,17.560592761551
0.582,17.3587828576062
0.584,17.2020133553721
0.586,17.0891415266821
0.588,17.0173124650678
0.59,16.9847223170448
0.592,16.9911172492137
0.594,17.0365194827549
0.596,17.1214768239283
0.598,17.2487992613843
0.6,17.4195177124727
0.602,17.6373623620228
0.604,17.8623178901827
0.606,18.1331455317279
0.608,18.4520657131841
0.61,18.8258707420941
0.612,19.2107335301224
0.614,19.6373120720419
0.616,20.1223221279223
0.618,20.6178357118058
0.62,21.1657178900826
0.622,21.7475502933489
0.624,22.3577568425433
0.626,23.0189057270594
0.628,23.6945228950815
0.63,24.3975073167624
0.632,25.1429376826523
0.634,25.8337847592783
0.636,26.5145822994048
0.638,27.013432076063
0.64,27.0986429393467
0.642,26.8148898417691
0.644,26.2665951009806
0.646,25.540797800135
0.648,24.8161201984194
0.65,24.1111951407376
0.652,23.3969049131292
0.654,22.751505033742
0.656,22.0861175274233
0.658,21.5052342651226
0.66,20.9085432777886
0.662,20.3850877065729
0.664,19.8804942339094
0.666,19.4137576721764
0.668,19.0108776362478
0.67,18.6083976786564
0.672,18.2562635794133
0.674,17.9477485283416
0.676,17.6978556732886
0.678,17.4524518230378
0.68,17.2457425469629
0.682,17.0859354667025
0.684,16.9686639800996
0.686,16.8881757523637
0.688000000000001,16.8475275088893
0.690000000000001,16.8458621072258
0.692000000000001,16.8831312039517
0.694000000000001,16.9602679954026
0.696000000000001,17.0742747002904
0.698000000000001,17.2301538438104
0.700000000000001,17.4327106925621
0.702000000000001,17.6782682846518
0.704000000000001,17.9240875170063
0.706000000000001,18.2274728590215
0.708000000000001,18.5756668623084
0.710000000000001,18.9791673887908
0.712000000000001,19.3759105713325
0.714000000000001,19.837615127999
0.716000000000001,20.3433307068331
0.718000000000001,20.8617354627116
0.720000000000001,21.4559716137638
0.722000000000001,22.0320047619211
0.724000000000001,22.6935004119044
0.726000000000001,23.3389694201571
0.728000000000001,24.0547718685962
