"Time [s]","Torque1.Torque []"
0,66.6176923244992
0.002,66.5868099449718
0.004,66.4948868887045
0.006,66.3502304994197
0.008,66.1703668931607
0.01,66.0380743745569
0.012,66.1158160249006
0.014,66.3922588612147
0.016,66.1112479753738
0.018,65.8888046816689
0.02,65.9692220241562
0.022,66.2031801561668
0.024,65.8136466433064
0.026,65.9233649567386
0.028,65.7798391160863
0.03,65.1326835857957
0.032,65.2987170988266
0.034,64.7369762176734
0.036,64.3604903499514
0.038,63.4438329628858
0.04,61.8502385633556
0.042,59.3174666872999
0.044,54.427185991974
0.046,41.5806499446805
0.048,13.2260454018575
0.05,-14.6721320051097
0.052,-41.346116393569
0.054,-54.0386642569264
0.056,-58.7354212241139
0.058,-61.135777506463
0.06,-62.6636171074934
0.062,-63.613212243214
0.064,-63.8948553370424
0.066,-64.5578084952065
0.068,-64.4006110121898
0.07,-64.9197719289429
0.0720000000000001,-64.9436841380685
0.0740000000000001,-65.0978871515873
0.0760000000000001,-65.4939757944517
0.0780000000000001,-65.1466299477215
0.0800000000000001,-65.1871610483721
0.0820000000000001,-65.5270480392375
0.0840000000000001,-65.7049616766994
0.0860000000000001,-65.1250507660933
0.0880000000000001,-65.1886583999947
0.0900000000000001,-65.2966582889467
0.0920000000000001,-65.5039361910708
0.0940000000000001,-65.696545532568
0.0960000000000001,-65.8373246319417
0.0980000000000001,-65.8875751888256
0.1,-65.8706405748193
0.102,-65.7781110797188
0.104,-65.5855003003698
0.106,-65.3969381617274
0.108,-65.2108194861044
0.11,-65.167969885775
0.112,-65.4700679017245
0.114,-65.6712307224018
0.116,-65.2998591222956
0.118,-65.1840925730545
0.12,-65.3356422780412
0.122,-65.4207136852973
0.124,-64.8420779030132
0.126,-65.1925802166862
0.128,-64.4630045427983
0.13,-64.6289533541119
0.132,-64.1303421133074
0.134,-63.9537217334027
0.136,-62.9889106683696
0.138,-62.1346080000782
0.14,-60.1007346220105
0.142,-56.4742131510794
0.144,-49.4447120941343
0.146,-28.8149726581868
0.148,0.0187409073880243
0.15,29.7179061802512
0.152,50.2303273373765
0.154,57.1486862113704
0.156,60.885436528198
0.158,62.8947043322037
0.16,63.7847863503434
0.162,64.7477983365515
0.164,64.9597430605578
0.166,65.3646689867056
0.168,65.2666350890237
0.17,66.1168750267193
0.172,65.6935591222409
0.174,66.1754810492704
0.176,66.1203436600333
0.178,65.951659018358
0.18,65.9253131231861
0.182,66.277880600447
0.184,66.35732891616
0.186,65.9595845205536
0.188,66.1098631280867
0.19,66.2610066983102
0.192,66.4232863693199
0.194,66.5413918872002
0.196,66.6013227979377
0.198,66.5995687993778
0.2,66.5361719730206
0.202,66.4150809821208
0.204,66.2508680536072
0.206,66.1024505762171
0.208,65.9508374610917
0.21,66.3720740112084
0.212,66.262385734747
0.214,65.9121059703067
0.216,65.9544233276283
0.218,66.1377881157575
0.22,66.1277839661319
0.222,65.7049918639996
0.224,66.1015310992198
0.226,65.2145039143685
0.228,65.3828451066782
0.23,64.9163984761879
0.232,64.7278598932735
0.234,63.7227284499816
0.236,62.7912703745009
0.238,60.761621630717
0.24,56.8637746213813
0.242,49.4690664875603
0.244,27.9099448474471
0.246,-1.58967007894678
0.248,-30.4173636354004
0.25,-50.1560612587619
0.252,-56.7320725481516
0.254,-60.2225193001683
0.256,-62.2296892077672
0.258,-63.0400173720966
0.26,-63.9598852656878
0.262,-64.1747486138314
0.264,-64.6019715035138
0.266,-64.492170697393
0.268,-65.1911953035991
0.27,-64.8593235145049
0.272,-65.4301993348508
0.274,-65.3121378268622
0.276,-65.1851715643091
0.278,-65.3157227740086
0.28,-65.6807379096293
0.282,-65.4417761555382
0.284,-65.1697357066737
0.286,-65.2144002533276
0.288,-65.4006661539589
0.29,-65.5856633937525
0.292,-65.7733619802162
0.294,-65.8624701220111
0.296,-65.8756901807756
0.298,-65.8193592570162
0.3,-65.6686279756092
0.302,-65.4821026022215
0.304,-65.2776449023796
0.306,-65.1858650195958
0.308,-65.1113751208918
0.31,-65.7176304268888
0.312,-65.4958937722452
0.314,-65.1809098315478
0.316,-65.1364501104628
0.318,-65.4887897621816
0.32,-65.0525489140136
0.322,-64.9978220095034
0.324,-64.8678221993585
0.326,-64.4027172757641
0.328,-64.5116406598897
0.33,-63.897757514566
0.332,-63.5292637939231
0.334,-62.6199568100468
0.336,-60.9797848029487
0.338,-58.4691686684745
0.34,-53.6230912641882
0.342,-39.8086224881546
0.344,-12.5047522102342
0.346,15.4579966670731
0.348,43.0062905088549
0.35,54.8039391244174
0.352,59.5859111818536
