"Distance [mm]","Mag_B []"
0,436.180292260666
0.328295,338.81729236524
0.65659,256.977938473959
0.984885,201.468647326065
1.31318,156.638784445737
1.641475,117.478080177597
1.96977,83.7748777290343
2.298065,55.373695975304
2.62636,32.1712452107079
2.954655,14.1126011930577
3.28295,2.56249078003689
3.611245,6.79967866417039
3.93954,11.6691713521014
4.267835,13.9048529996656
4.59613,13.7057350340861
4.924425,10.7092901655946
5.25272,5.57749736568191
5.581015,4.53855631530249
5.90931,3.68804554816544
6.237605,3.03690446783195
6.5659,2.52307287672827
6.894195,2.10904810692053
7.22249,1.82035189906841
7.550785,1.7083298051534
7.87908,1.69471048079429
8.207375,1.69316132220018
8.53567,1.69611367895505
8.863965,1.69737391106122
9.19226,1.69217461868269
9.520555,1.67722625026969
9.84885,1.65076908089214
10.177145,1.61262555249073
10.50544,1.5766952264304
10.833735,1.58884088325881
11.16203,1.44869895260215
11.490325,1.3873456315601
11.81862,1.35242738676444
12.146915,1.31671028026693
12.47521,1.27999785169787
12.803505,1.24211143093852
13.1318,1.20288989672028
13.460095,1.1621894298059
13.78839,1.11988326114832
14.116685,1.07586141542411
14.44498,1.03003045033962
14.773275,0.991540146421154
15.10157,0.96115577592597
15.429865,0.936558018697086
15.75816,0.918297254124284
16.086455,0.906824283638458
16.41475,0.902493510542661
16.743045,0.905566133123277
17.07134,0.916213350673915
17.399635,0.934519582063094
17.72793,0.960485696475611
18.056225,0.998335324514659
18.38452,1.01916261832714
18.712815,1.06578398186457
19.04111,1.11090063957744
19.369405,1.15460048949952
19.6977,1.19698494212041
20.025995,1.23816912578435
20.35429,1.27828208834613
20.682585,1.31746699470807
21.01088,1.3558813198624
21.339175,1.39369703706496
21.66747,1.45604249935157
21.995765,1.59993336277345
22.32406,1.61046576352017
22.652355,1.6379065878692
22.98065,1.6469630666122
23.308945,1.63033961392742
23.63724,1.58753456157896
23.965535,1.5200638498263
24.29383,1.4314369962124
24.622125,1.32713265170862
24.95042,1.21457375005989
25.278715,1.10310225625804
25.60701,1.34256031312263
25.935305,1.64159443576128
26.2636,1.88826684249483
26.591895,2.31147609257528
26.92019,2.87386419442345
27.248485,3.569296197684
27.57678,5.07376404091541
27.905075,6.95558199509895
28.23337,8.91189599602902
28.561665,11.3094887967841
28.88996,14.0980863836652
29.218255,16.1706583591575
29.54655,23.3731108557677
29.874845,33.8340453979902
30.20314,44.2791544941127
30.531435,55.6649980817558
30.85973,68.7609961687389
31.188025,74.2265156499138
31.51632,106.026175642949
31.844615,162.39384682001
32.17291,245.526278912806
32.501205,353.334941731867
32.8295,481.907140872043
33.157795,581.492210067202
33.48609,598.989484350886
33.814385,676.085430141277
34.14268,740.49479036932
34.470975,782.082230983103
34.79927,785.880004748604
35.127565,792.012497401518
35.45586,802.111008422654
35.784155,812.373587977598
36.11245,821.444554598186
36.440745,827.58989594958
36.76904,832.294196774737
37.097335,836.604657720159
37.42563,840.413022213531
37.753925,842.034261953428
38.08222,843.462598931634
38.410515,844.823584442444
38.73881,846.114816822743
39.067105,847.334033910607
39.3954,847.231177139398
39.723695,846.22081225405
40.05199,845.425799692661
40.380285,845.866354624815
40.70858,846.672344542742
41.036875,847.313671340453
41.36517,847.788015658431
41.693465,848.093092291066
42.02176,848.226650427142
42.350055,848.33888519541
42.67835,848.453875426914
43.006645,848.565997229383
43.33494,848.674828012311
43.663235,848.779947031971
43.99153,848.736538884501
44.319825,848.598420364749
44.64812,848.477069783237
44.976415,848.372330443706
45.30471,848.284043490678
45.633005,848.212047934921
45.9613,848.159179319993
46.289595,848.124116562239
46.61789,848.106225143813
46.946185,848.105397334247
47.27448,848.121524731524
47.602775,848.075607743161
47.93107,847.954848442103
48.259365,847.849217138657
48.58766,847.758649546045
48.915955,847.68308089902
49.24425,847.622445972035
49.572545,847.578917269847
49.90084,847.551282126775
50.229135,847.538621039711
50.55743,847.540870697496
50.885725,847.557967370711
51.21402,847.525082343371
51.542315,847.390968892994
51.87061,847.27212351147
52.198905,847.168473305055
52.5272,847.079944869464
52.855495,847.006464308948
53.18379,846.949274537244
53.512085,846.908077490405
53.84038,846.8820041449
54.168675,846.870978933208
54.49697,846.874925731432
54.825265,846.854922492259
55.15356,846.73288258406
55.481855,846.625842828679
55.81015,846.533747143262
56.138445,846.456538811118
56.46674,846.394160497132
56.795035,846.348896609755
57.12333,846.320695901469
57.451625,846.307141191589
57.77992,846.30817498591
58.108215,846.323739282639
58.43651,846.329480743356
58.764805,846.202766433077
59.0931,846.092537808683
59.421395,845.998732750892
59.74969,845.921288372202
60.077985,845.86014103243
60.40628,845.816885611145
60.734575,845.792872878879
61.06287,845.785657888103
61.391165,845.79518403124
61.71946,845.821393961973
62.047755,845.858317650384
62.37605,845.735713784677
62.704345,845.62803009968
63.03264,845.535203848455
63.360935,845.457171741591
63.68923,845.393869963478
64.017525,845.346411671894
64.34582,845.316471765091
64.674115,845.300917274463
65.00241,845.299672453049
65.330705,845.312660983196
65.659,845.339805994825
65.987295,845.227903960303
66.31559,845.120121062139
66.643885,845.029038021556
66.97218,844.954593487596
67.300475,844.896725315252
67.62877,844.855987538875
67.957065,844.835175479322
68.28536,844.831647923703
68.613655,844.845355345108
68.94195,844.876247443401
69.270245,844.924273158852
69.59854,844.848276753729
69.926835,844.755011269475
70.25513,844.675981188688
70.583425,844.611126801432
70.91172,844.560387893163
71.240015,844.52400253051
71.56831,844.50577986123
71.896605,844.501122753058
72.2249,844.509957212774
72.553195,844.532208735847
72.88149,844.567802323941
73.209785,844.499740594152
73.53808,844.399300558557
73.866375,844.315177728134
74.19467,844.247311453894
74.522965,844.19564025419
74.85126,844.160101830042
75.179555,844.145956414738
75.50785,844.14877386333
75.836145,844.168275548865
76.16444,844.204413853391
76.492735,844.257140500929
76.82103,844.215352511801
77.149325,844.115717021945
77.47762,844.032368711357
77.805915,843.965246485707
78.13421,843.9142886209
78.462505,843.879432778755
78.7908,843.863272677644
79.119095,843.864049384666
79.44739,843.881255941104
79.775685,843.91482446628
80.10398,843.964686282101
80.432275,843.949224173901
80.76057,843.864037974563
81.088865,843.793111079276
81.41716,843.736389350544
81.745455,843.693818143849
82.07375,843.665342322506
82.402045,843.654557482284
82.73034,843.658621324974
83.058635,843.676105441332
83.38693,843.706937385336
83.715225,843.751044188064
84.04352,843.744772844205
84.371815,843.651406283873
84.70011,843.574430470986
85.028405,843.513788983233
85.3567,843.469424563653
85.684995,843.441279134866
86.01329,843.433228632943
86.341585,843.444148330233
86.66988,843.471803579766
86.998175,843.516146386793
87.32647,843.577128017134
87.654765,843.603613965821
87.98306,843.511483870428
88.311355,843.435648951096
88.63965,843.376048769387
88.967945,843.332622197841
89.29624,843.30530743527
89.624535,843.295944830479
89.95283,843.304758429908
90.281125,843.330076454041
90.60942,843.371834504066
90.937715,843.429967363676
91.26601,843.476664746009
91.594305,843.399298061857
91.9226,843.33626417566
92.250895,843.287510672166
92.57919,843.25298459854
92.907485,843.232632478751
93.23578,843.228656133835
93.564075,843.241627566381
93.89237,843.268133419975
94.220665,843.308103022331
94.54896,843.361465137107
94.877255,843.418440938342
95.20555,843.332314399642
95.533845,843.262635598584
95.86214,843.209349311108
96.190435,843.172399435712
96.51873,843.151729007281
96.847025,843.149314367648
97.17532,843.168179124678
97.503615,843.203867815473
97.83191,843.256334896873
98.160205,843.325534062153
98.4885,843.411418253259
98.816795,843.33554982707
99.14509,843.266642510936
99.473385,843.214113329404
99.80168,843.177903758616
100.129975,843.157954558027
100.45827,843.155006944432
100.786565,843.171842242543
101.11486,843.205337878522
101.443155,843.255431841768
101.77145,843.322061254122
102.099745,843.405162385898
102.42804,843.362164504079
102.756335,843.306830462859
103.08463,843.265849332722
103.412925,843.239170018804
103.74122,843.226740862774
104.069515,843.229050114219
104.39781,843.250937650494
104.726105,843.286467738284
105.0544,843.335571760492
105.382695,843.398180493683
105.71099,843.474224123964
106.039285,843.440430419136
106.36758,843.377829164806
106.695875,843.331689400875
107.02417,843.30195772331
107.352465,843.288579835461
107.68076,843.291500561226
108.009055,843.318046770581
108.33735,843.361641726083
108.665645,843.422086413901
108.99394,843.499336261424
109.322235,843.593345904767
109.65053,843.5859804474
109.978825,843.524197510147
110.30712,843.478882597251
110.635415,843.449978921132
110.96371,843.437428946051
111.292005,843.441174402296
111.6203,843.465459819854
111.948595,843.507126926246
112.27689,843.565510207183
112.605185,843.640548056381
112.93348,843.732177970353
113.261775,843.752088159126
113.59007,843.704303998708
113.918365,843.670971597185
114.24666,843.652042004698
114.574955,843.647465677984
114.90325,843.657192493608
115.231545,843.686191542571
115.55984,843.730569141495
115.888135,843.788631511628
116.21643,843.860310847124
116.544725,843.945538712865
116.87302,843.975146016556
117.201315,843.920106203251
117.52961,843.881550637727
117.857905,843.859426813086
118.1862,843.85368130706
118.514495,843.864259794858
118.84279,843.896207818228
119.171085,843.947726435378
119.49938,844.016193502544
119.827675,844.101566477252
120.15597,844.203801998531
120.484265,844.265653446257
120.81256,844.210607354122
121.140855,844.172274301677
121.46915,844.150601472942
121.797445,844.145535273093
122.12574,844.157021341826
122.454035,844.187807850717
