"Distance [mm]","B_normal []"
0,0.513908787002283
0.328295,0.382395052892714
0.65659,0.262221053001018
0.984885,0.159294933299626
1.31318,0.110075774553688
1.641475,0.0831588248906367
1.96977,0.0786698415847795
2.298065,0.0618870199889593
2.62636,0.04506203275176
2.954655,0.0322816782699982
3.28295,0.0238995059582791
3.611245,0.0205913052221501
3.93954,0.0175436830508612
4.267835,0.014121027688555
4.59613,0.0106050272303884
4.924425,0.00744824133594291
5.25272,0.00468022174838274
5.581015,0.00359791827785046
5.90931,0.00263861634656314
6.237605,0.00175046852525195
6.5659,0.000939955399735602
6.894195,0.000206654419396683
7.22249,-0.000230949831687173
7.550785,-0.000508563976072046
7.87908,-0.000700821481645558
8.207375,-0.000869004486146409
8.53567,-0.00101302697400365
8.863965,-0.00113280907850791
9.19226,-0.00122827711167168
9.520555,-0.00129936359333329
9.84885,-0.00134600727950105
10.177145,-0.0013681531899339
10.50544,-0.00138396730593408
10.833735,-0.00144557621422357
11.16203,-0.00130180195537829
11.490325,-0.00121066873190808
11.81862,-0.00113748930083938
12.146915,-0.00106434702586397
12.47521,-0.000991289017127829
12.803505,-0.000918362316356353
13.1318,-0.000845613893005299
13.460095,-0.000773090640421572
13.78839,-0.000700839372014112
14.116685,-0.000628906817435191
14.44498,-0.000557339618772433
14.773275,-0.000473066503014476
15.10157,-0.000382885864925557
15.429865,-0.000292305912463394
15.75816,-0.000201310108169506
16.086455,-0.000109881913950149
16.41475,-1.80047941073207e-05
16.743045,7.4337781627462e-05
17.07134,0.00016716233505694
17.399635,0.000260485376479805
17.72793,0.000354323401650615
18.056225,0.000458157291687342
18.38452,0.000556390703690335
18.712815,0.00062624718055823
19.04111,0.000696780805266372
19.369405,0.000767943216671038
19.6977,0.000839685926452277
20.025995,0.000911960323236643
20.35429,0.000984717676735452
20.682585,0.00105790914189817
21.01088,0.00113148576308062
21.339175,0.00120539847822763
21.66747,0.00129152615329296
21.995765,0.00142130177577517
22.32406,0.00137938136853824
22.652355,0.00136405012594334
22.98065,0.00134805244764162
23.308945,0.00131177786680956
23.63724,0.00125537683312723
23.965535,0.00117900485774743
24.29383,0.00108282247614611
24.622125,0.00096699521037273
24.95042,0.000831693530704796
25.278715,0.000677092816711108
25.60701,0.000281518450046629
25.935305,-0.00019778676507736
26.2636,-0.000934940143938126
26.591895,-0.00176007057386965
26.92019,-0.00267389366402222
27.248485,-0.00366618665215243
27.57678,-0.00478565742649309
27.905075,-0.00697017373058978
28.23337,-0.00981259909930331
28.561665,-0.012774023995428
28.88996,-0.0154621051598333
29.218255,-0.0166525589069438
29.54655,-0.024743016404045
29.874845,-0.0370074691937131
30.20314,-0.0492218444533676
30.531435,-0.0612066839762512
30.85973,-0.0653844045196071
31.188025,-0.0733057824144877
31.51632,-0.118805234516961
31.844615,-0.179959815996114
32.17291,-0.226839066354995
32.501205,-0.302223434738352
32.8295,-0.43010904492487
33.157795,-0.627718198946253
33.48609,-0.791141525624364
33.814385,-0.820843438278434
34.14268,-0.842726829838944
34.470975,-0.886244901346904
34.79927,-0.905245015078308
35.127565,-0.922925092835816
35.45586,-0.938264191725687
35.784155,-0.948572526526264
36.11245,-0.95669871482117
36.440745,-0.962014438386497
36.76904,-0.964648712504475
37.097335,-0.966873880427242
37.42563,-0.972864482090575
37.753925,-0.978186205895661
38.08222,-0.982284744180961
38.410515,-0.983216709374292
38.73881,-0.983502572398283
39.067105,-0.981799912180281
39.3954,-0.98014882582824
39.723695,-0.980764079386155
40.05199,-0.982855398197838
40.380285,-0.984739045566209
40.70858,-0.986584382278177
41.036875,-0.988092788856884
41.36517,-0.988370869375921
41.693465,-0.988473690682633
42.02176,-0.988615314537601
42.350055,-0.988793592324731
42.67835,-0.989006507304769
43.006645,-0.988028427264043
43.33494,-0.985680391670452
43.663235,-0.983621670334854
43.99153,-0.983414400220185
44.319825,-0.984274096529651
44.64812,-0.984943191465726
44.976415,-0.985419327215913
45.30471,-0.985700178501119
45.633005,-0.985783452662784
45.9613,-0.98581734848298
46.289595,-0.985856037173384
46.61789,-0.985883958080405
46.946185,-0.98590093064008
47.27448,-0.985906772644396
47.602775,-0.985827376957969
47.93107,-0.985674250036664
48.259365,-0.985540198965903
48.58766,-0.985425067926776
48.915955,-0.985328697325196
49.24425,-0.985250923785457
