"Time [ms]","Torque1.Torque []"
0,27.0607389922384
0.2,24.5900045748646
0.4,17.5421210698095
0.6,11.2739887124901
0.8,3.65200549030128
1,1.14165397084137
1.2,0.547536572533684
1.4,3.77973668995868
1.6,9.49221416180944
1.8,13.7023770384552
2,17.6349993175655
2.2,23.2504648302491
2.4,30.2434736616609
2.6,36.234123741315
2.8,40.331554884324
3,35.7182660635444
3.2,30.1228713322218
3.4,23.5209151891011
3.6,16.1148768253236
3.8,7.80444722118651
4,-1.87795646014294
4.2,-8.34443431314486
4.4,-9.53943728667335
4.6,-5.65810201973195
4.8,0.940000868299527
5,7.0420121468417
5.2,8.51832063189975
5.4,13.0621485206827
5.6,20.8595775033
5.8,29.5369471370887
6,35.3836769200007
6.2,35.4403789762841
6.4,30.5591431874592
6.6,27.4756266087688
6.8,23.9828538542424
7,18.9940967179785
7.2,17.2326801640775
7.4,13.9712126997013
7.59999999999999,17.5291624799951
7.79999999999999,23.9896910814182
7.99999999999999,34.2566963714323
8.2,45.9109694990318
8.4,58.3743355586871
8.6,69.3112204169238
8.8,82.7472321750199
9,96.8702697538472
9.2,110.34048784675
9.4,124.971282012615
9.6,135.711935638738
9.8,147.955230659674
10,160.961904843709
10.2,175.346775227854
10.4,189.268064158226
10.6,204.286518562692
10.8,216.502997320084
11,232.102989492852
11.2,247.757123696843
11.4,262.150551884351
11.6,275.025736822885
11.8,283.419818566112
12,291.075415212883
12.2,300.049463998474
12.4,308.55826368279
12.6,315.622264236084
12.8,321.1578576861
13,320.002345097436
13.2,321.225867447173
13.4,323.124781707111
13.6,323.018338739633
13.8,321.299260634594
14,316.506681964807
14.2,310.128815049241
14.4,303.969487512194
14.6,297.136381743889
14.8,290.185280410212
15,282.218336609658
15.2,267.190355370205
15.4,253.798568978768
15.6,241.09171799063
15.8,228.697352501899
16,214.765416108135
16.2,198.489791561986
16.4,180.986590064602
16.6,165.831298554719
16.8,152.425188780626
17,139.294059687924
17.2,128.116839500433
17.4,112.52643120139
17.6,98.5258027105532
17.8,84.572060653593
18,71.2671512125352
18.2,58.1412704404235
18.4,44.1915871358876
18.6,28.6066854351926
18.8,15.7831219970415
19,3.21822098880611
19.2,-9.65691297249352
19.4,-18.4854620484787
19.6,-28.1399988305659
19.8,-31.3218728419343
20,-28.4953453756904
20.2,-22.3377643911519
20.4,-18.5590276065635
20.6,-10.6510227471633
20.8,-6.76334596616933
21,-2.25804520035
21.2,-1.82738801750117
21.4,-4.62841678763131
21.6,-7.78750813566246
21.8,-15.1301179612551
22,-21.6997144735897
22.2,-27.3912760702408
22.4,-32.0655153938313
22.6,-36.6059776536768
22.8,-37.7377801472934
23,-41.0847113440613
23.2,-36.1925840648948
23.4,-26.1516491249679
23.6,-14.8386707165751
23.8,-4.89318064659038
24,1.97125835162831
24.2,4.97210939981427
24.4,6.27796646212244
24.6,5.18758517755406
24.8,3.35466092343324
