"X [ms]","AvgTorque [NewtonMeter]","InputCurrent(phaseA) [A]","InducedVoltage(phaseA) [kV]"
0,-197.040414377579,0,4.59704444265011
0.2,,0.119301987105695,4.507734574468
0.4,,0.238133143772178,4.41842470628589
0.6,,0.356024497712877,4.31353824481868
0.8,,0.472510785613224,4.55046963931154
1,,0.5871322893124,4.29578098091695
1.2,,0.699436650100888,4.20562224940356
1.4,,0.808980653973636,4.25117491377443
1.6,,0.915331980793259,3.52003052873204
1.8,,1.01807091046009,4.01104311799196
2,,1.1167919793557,4.13503086570336
2.2,,1.21110558052251,3.08487835464824
2.4,,1.30063950126451,3.79666988974481
2.6,,1.38504039210068,2.90092442299851
2.8,,1.463975161274,2.37535440498615
3,,1.5371322893124,3.43499619797118
3.2,,1.60422305845383,2.60490570296938
3.4,,1.66498269208334,2.04463087313767
3.6,,1.71917139968544,2.35781999065479
3.8,,1.76657532318768,1.05157482883875
4,,1.80700738096079,1.59539921335139
4.2,,1.8403080061444,1.94171750637875
4.4,,1.86634577638451,0.484382476149667
4.6,,1.88501793249751,1.18534886683173
4.8,,1.89625078401372,0.170004527727929
5,,1.9,-0.787414247352984
5.2,,1.89625078401372,0.766382481477113
5.4,,1.88501793249751,-0.157106862840353
5.6,,1.86634577638451,-1.16795147005183
5.8,,1.8403080061444,-0.557852631520745
6,,1.80700738096079,-1.79445056053024
6.2,,1.76657532318768,-1.61477328322309
6.4,,1.71917139968544,-1.23781767893643
6.6,,1.66498269208334,-2.2339303554505
6.8,,1.60422305845383,-1.95576175241827
7,,1.5371322893124,-2.60687220039851
7.2,,1.463975161274,-3.58510561177408
7.4,,1.38504039210068,-2.33452872242793
7.59999999999999,,1.30063950126451,-2.84141867218191
7.79999999999999,,1.21110558052251,-3.82159059048003
7.99999999999999,,1.1167919793557,-3.0823266002651
8.2,,1.01807091046009,-4.16016897737098
8.4,,0.91533198079326,-4.02583903827692
8.6,,0.808980653973638,-3.52147872152061
8.8,,0.699436650100889,-4.22823929529499
9,,0.587132289312401,-4.19540158385389
9.2,,0.472510785613225,-4.30360317587682
9.4,,0.356024497712877,-4.56715617738009
9.6,,0.238133143772178,-4.306059731077
9.8,,0.119301987105696,-4.40310210782281
10,,2.32682891837997E-16,-4.51387531452964
10.2,,-0.119301987105696,-4.51815433705421
10.4,,-0.238133143772179,-4.40019888132961
10.6,,-0.356024497712878,-4.30685894520993
10.8,,-0.472510785613225,-4.57516334982589
11,,-0.587132289312401,-4.28599270228553
11.2,,-0.699436650100889,-4.20288798073317
11.4,,-0.808980653973638,-4.23925379313222
11.6,,-0.915331980793261,-3.51963504327839
11.8,,-1.01807091046009,-4.01651570754024
12,,-1.1167919793557,-4.1887425949113
12.2,,-1.21110558052251,-3.08542557445809
12.4,,-1.30063950126451,-3.78835028098185
12.6,,-1.38504039210068,-2.91801881693585
12.8,,-1.463975161274,-2.38069668145442
13,,-1.5371322893124,-3.49473820316145
13.2,,-1.60422305845383,-2.62925045850923
13.4,,-1.66498269208334,-2.00146752502388
13.6,,-1.71917139968544,-2.21892719529233
13.8,,-1.76657532318768,-1.2524407458496
14,,-1.80700738096079,-1.61102868098424
14.2,,-1.8403080061444,-1.73363204217743
14.4,,-1.86634577638451,-0.553931190954753
14.6,,-1.88501793249751,-1.27776137318255
14.8,,-1.89625078401372,-0.139150161760568
15,,-1.9,0.887725208571872
15.2,,-1.89625078401372,-0.861555259236377
15.4,,-1.88501793249751,0.157567007377661
15.6,,-1.86634577638451,1.24752852232754
15.8,,-1.8403080061444,0.448855169918323
16,,-1.80700738096079,1.95565791627012
16.2,,-1.76657532318767,1.62447867036946
16.4,,-1.71917139968543,1.03991163845822
16.6,,-1.66498269208334,2.38132068827552
16.8,,-1.60422305845382,2.07723007776013
17,,-1.5371322893124,2.57664377688051
17.2,,-1.463975161274,3.34838018393634
17.4,,-1.38504039210068,2.4868321167825
17.6,,-1.3006395012645,2.94648444728246
17.8,,-1.21110558052251,3.73744738644185
18,,-1.1167919793557,3.06426317237277
18.2,,-1.01807091046009,4.11973155095738
18.4,,-0.915331980793259,4.03156877288355
18.6,,-0.808980653973637,3.54448656021506
18.8,,-0.699436650100889,4.24090429994133
19,,-0.587132289312402,4.19243852695198
19.2,,-0.472510785613227,4.29313414646382
19.4,,-0.35602449771288,4.55481671121887
19.6,,-0.238133143772183,4.32044066892899
19.8,,-0.1193019871057,4.41999900174637
20,,-5.5279827759667E-15,4.50193221836761
20.2,,0.119301987105689,4.50659066354664
20.4,,0.238133143772171,4.41586316857965
20.6,,0.356024497712869,4.30033585319242
20.8,,0.472510785613216,4.58129773714494
21,,0.587132289312391,4.2835405922029
21.2,,0.699436650100879,4.15643307184287
21.4,,0.808980653973628,4.12646557267423
21.6,,0.915331980793249,3.77845583441245
21.8,,1.01807091046008,3.95687406257042
22,,1.11679197935569,3.90397009644104
22.2,,1.2111055805225,3.26101121816697
22.4,,1.3006395012645,3.86898926384179
22.6,,1.38504039210067,2.86295993937029
22.8,,1.46397516127399,2.30894328466449
23,,1.53713228931239,3.55960114717328
23.2,,1.60422305845382,2.59823115221144
23.4,,1.66498269208333,2.00335849461884
23.6,,1.71917139968543,2.36859444434805
23.8,,1.76657532318767,1.06053297841779
24,,1.80700738096078,1.5941856406929
24.2,,1.84030800614439,1.93128726058114
24.4,,1.86634577638451,0.488182611155192
24.6,,1.8850179324975,1.25872670307753
24.8,,1.89625078401372,0.147143917086527
25,,1.9,-0.911537786057606
25.2,,1.89625078401372,0.876223675385859
25.4,,1.88501793249751,-0.139454262829375
25.6,,1.86634577638451,-1.2171603819488
25.8,,1.84030800614441,-0.465122808507115
26,,1.8070073809608,-1.95396393304264
26.2,,1.76657532318769,-1.63288335063693
26.4,,1.71917139968545,-1.06237463674324
26.6,,1.66498269208335,-2.33650675883873
26.7999999999999,,1.60422305845384,-2.01930325281087
26.9999999999999,,1.53713228931242,-2.61668378233736
27.1999999999999,,1.46397516127402,-3.47352423364323
27.3999999999999,,1.3850403921007,-2.40014081287153
27.5999999999999,,1.30063950126453,-2.88349555686615
27.7999999999999,,1.21110558052254,-3.77489471335039
27.9999999999999,,1.11679197935573,-3.13491837999459
28.1999999999999,,1.01807091046012,-4.08335796253956
28.3999999999999,,0.91533198079329,-4.00852210904414
28.5999999999999,,0.80898065397367,-3.6065658802777
28.7999999999999,,0.699436650100922,-4.18911548999355
28.9999999999999,,0.587132289312436,-4.18454302613843
29.1999999999999,,0.472510785613261,-4.30166351796057
29.3999999999999,,0.356024497712915,-4.57578635196166
29.5999999999999,,0.238133143772217,-4.30742617551601
29.7999999999999,,0.119301987105736,-4.40178761709793
29.9999999999999,,4.11989846138397E-14,-4.51707737091044
30.1999999999999,,-0.119301987105654,-4.49769383333869
30.3999999999999,,-0.238133143772136,-4.42484359385378
30.5999999999999,,-0.356024497712834,-4.33025069998094
30.7999999999999,,-0.472510785613181,-4.51160332868268
30.9999999999999,,-0.587132289312357,-4.30783536510072
31.1999999999999,,-0.699436650100846,-4.21788579217506
31.3999999999999,,-0.808980653973597,-4.24035566270209
31.5999999999999,,-0.915331980793217,-3.51950609439733
31.7999999999999,,-1.01807091046005,-4.01544455927446
31.9999999999999,,-1.11679197935566,-4.17019837704617
32.1999999999999,,-1.21110558052247,-3.08813911245774
32.3999999999999,,-1.30063950126447,-3.72646777359567
32.5999999999999,,-1.38504039210065,-2.93768446486396
32.7999999999999,,-1.46397516127397,-2.47422077049545
32.9999999999999,,-1.53713228931237,-3.35047760281617
33.1999999999999,,-1.6042230584538,-2.66321495740216
33.3999999999999,,-1.66498269208332,-2.06470603650137
33.5999999999999,,-1.71917139968541,-2.3308868633044
33.7999999999999,,-1.76657532318766,-1.12336196388682
33.9999999999999,,-1.80700738096077,-1.61175799866154
34.1999999999999,,-1.84030800614439,-1.8941223248197
34.3999999999999,,-1.8663457763845,-0.481320132676748
34.5999999999999,,-1.8850179324975,-1.18908191605805
34.7999999999999,,-1.89625078401371,-0.16292848938626
34.9999999999999,,-1.9,0.77855109513691
35.1999999999999,,-1.89625078401372,-0.747620971152019
35.3999999999999,,-1.88501793249752,0.210076167722679
35.5999999999999,,-1.86634577638452,1.14466989624827
35.7999999999999,,-1.84030800614442,0.252734915284272
35.9999999999999,,-1.80700738096081,2.29271368916832
36.1999999999999,,-1.7665753231877,1.65225622793064
36.3999999999999,,-1.71917139968547,0.7133104080006
36.5999999999999,,-1.66498269208337,2.57325114664907
36.7999999999999,,-1.60422305845387,2.13793702617778
36.9999999999999,,-1.53713228931244,2.57160858112268
37.1999999999999,,-1.46397516127404,3.33362649873931
37.3999999999999,,-1.38504039210073,2.47864353897135
37.5999999999999,,-1.30063950126456,2.96864669613826
37.7999999999999,,-1.21110558052257,3.71906900798038
37.9999999999999,,-1.11679197935576,3.18694352615519
38.1999999999999,,-1.01807091046015,3.95645983831903
38.3999999999999,,-0.915331980793323,3.99156828278565
38.5999999999999,,-0.808980653973705,3.71494016663833
38.7999999999999,,-0.699436650100957,4.15370054304555
38.9999999999999,,-0.587132289312472,4.16560061111466
39.1999999999999,,-0.472510785613297,4.28783132159075
39.3999999999999,,-0.356024497712951,4.5549130433187
39.5999999999999,,-0.238133143772255,4.31968882922368
39.7999999999999,,-0.119301987105773,4.42147893794201
39.9999999999999,,-7.85575254491428E-14,4.50140780235646
40.1999999999999,,0.119301987105616,4.50933679147416
40.3999999999999,,0.238133143772099,4.41651793669115
40.5999999999999,,0.356024497712797,4.30236348783992
40.7999999999999,,0.472510785613145,4.58374182449304
40.9999999999999,,0.587132289312321,4.28632939123028
41.1999999999999,,0.699436650100811,4.19340292255737
41.3999999999999,,0.808980653973562,4.24960676738479
41.5999999999999,,0.915331980793185,3.52267448902639
41.7999999999999,,1.01807091046002,4.00896787205383
41.9999999999999,,1.11679197935563,4.1355248751415
42.1999999999999,,1.21110558052244,3.08591524516896
42.3999999999999,,1.30063950126445,3.85279505794173
42.5999999999999,,1.38504039210062,2.86114311939953
42.7999999999999,,1.46397516127394,2.30777743172913
42.9999999999999,,1.53713228931235,3.56049934350125
43.1999999999998,,1.60422305845378,2.59782979151398
43.3999999999998,,1.6649826920833,1.96431545042049
43.5999999999998,,1.7191713996854,2.17048595070477
43.7999999999998,,1.76657532318764,1.40635654122164
43.9999999999998,,1.80700738096076,1.57001836228104
44.1999999999998,,1.84030800614438,1.61648782290857
44.3999999999998,,1.86634577638449,0.688645226782016
44.5999999999998,,1.8850179324975,1.21891266152262
44.7999999999998,,1.89625078401371,0.17311597385036
44.9999999999998,,1.9,-0.799708165917812
45.1999999999998,,1.89625078401372,0.761637282753913
45.3999999999998,,1.88501793249752,-0.163813294466477
45.5999999999998,,1.86634577638453,-1.14015698673699
45.7999999999998,,1.84030800614442,-0.359805166657639
45.9999999999998,,1.80700738096082,-2.12182052403848
46.1999999999998,,1.76657532318771,-1.63924473685273
46.3999999999998,,1.71917139968548,-0.902880442436223
46.5999999999998,,1.66498269208339,-2.42553661796601
46.7999999999998,,1.60422305845388,-1.99293027425322
46.9999999999998,,1.53713228931246,-2.60509304644369
47.1999999999998,,1.46397516127406,-3.58210608107249
47.3999999999998,,1.38504039210075,-2.33653658122816
47.5999999999998,,1.30063950126458,-2.84013347830996
47.7999999999998,,1.21110558052259,-3.8250449243129
47.9999999999998,,1.11679197935578,-3.13767503707215
48.1999999999998,,1.01807091046018,-4.08408236089272
48.3999999999998,,0.915331980793351,-4.01145011819488
48.5999999999998,,0.808980653973735,-3.60187684075026
48.7999999999998,,0.699436650100988,-4.18968408657785
48.9999999999998,,0.587132289312504,-4.18576879849004
49.1999999999998,,0.47251078561333,-4.30490352670641
49.3999999999998,,0.356024497712985,-4.55942186050485
49.5999999999998,,0.238133143772288,-4.3162778438436
49.7999999999998,,0.119301987105807,-4.41608659134902
